Name,Address1,Address2,Address3,Address4,Phone,Email,Website,Type,Opening_Hours,Playground,Multi_Use_Games_Area,Skatepark,Outdoor_Exercise_Equipment,GAA,Soccer,Rugby,Cricket,Tennis,Bowls,Boules,Pitch_and_Putt,Walking,Cycling,Heritage_Venue,Other_Attractions,Café,Picnic_Tables,Park_Benches,Parking,Disabled_Parking,Bicycle_Parking,Toilets,Disabled_Toilets,Baby_Changing,Area,LAT,LONG
Skerries Town Park &,Skerries,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Skerries Mills,Duck Pond,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,184699.6386,53.57566237,-6.106634667
St. Catherine's Estate,Rush,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,54660.2863,53.53782317,-6.09321206
St. Catherines Liffey Valley,Co. Dublin,,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Regional,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,No,No,No,Yes,Yes,No,No,No,No,763996.0524,53.36849704,-6.462488907
St. Molagga's Park,Balbriggan,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Regional,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,No,No,No,Yes,No,No,No,No,No,375776.3599,53.61985039,-6.190661448
Swords Town Park,Swords,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/WardRiverValleyRegionalPark/,Regional,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Swords Castle,,No,No,Yes,No,No,No,No,No,No,39772.0265,53.46386345,-6.218951691
Tolka Valley,Blanchardstown,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/TolkaValleyRegionalPark/,Regional,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,1073520.095,53.38388297,-6.358740331
The Glebe,Balrothery,Co. Dubliin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,54355.3376,53.58546057,-6.192194441
Turvey Nature Reserve,Turvey Road,Donabate,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Nature,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Wildlife; Allotments,No,No,Yes,Yes,No,No,No,No,No,1080888.106,53.4917276,-6.178528017
Ward River Valley Park,Swords,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/WardRiverValleyRegionalPark/,Regional,,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,593561.2792,53.45854299,-6.251646297
Red Island & South Strand,Skerries,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Local,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Swimming,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,80539.51375,53.58555127,-6.10588081
Robswalls,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/Hood,,Yes,No,No,No,,,,No,No,No,No,No,Yes,No,No,,No,No,,Yes,Yes,No,No,No,No,365770.1471,53.43771134,-6.12920325
The Sea Banks,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Local,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Swimming,No,No,No,Yes,Yes,No,Yes,No,No,84055.6143,53.44732606,-6.13460974
Kingfisher Site Nature Reserve,Portmarnock,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Nature,,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,,No,No,No,No,No,No,No,No,No,76850.02865,53.41690589,-6.128421057
Howth Seafront,Howth,Dublin 13,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Local,,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,,Yes,,,Yes,No,No,17980.2382,53.38878589,-6.072843701
Sea Banks,Balbriggan,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Local,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Swimming,No,No,,Yes,Yes,,Yes,No,No,2231.5248,53.61310281,-6.183279754
Broadmeadow Estuary,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,Local,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Wildlife,No,No,Yes,Yes,No,No,No,No,No,36685.4479,53.46357313,-6.201219618
Old Yellow Walls Rd,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/Hood,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,29797.49505,53.4549911,-6.177292012
Balbriggan Town Park,Balbriggan,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/Hood,,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,38372.82935,53.60515388,-6.180862325
Balheary Reservoir,Swords,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,No,No,64887.4046,53.47386489,-6.227838689
Ballast Pit,Skerries,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,52107.76055,53.57494258,-6.115208282
Ballheary - Castlefarm,Swords,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,58183.7069,53.46677845,-6.224942485
Beverton Drive,Donabate,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,29303.3238,53.48905361,-6.155672896
Broomfield,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,No,No,71641.9667,53.43953028,-6.143522416
Corduff Park,Corduff,Blanchardstown,Dublin 15,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,66393.145,53.39822698,-6.378538377
Danny's Pitch,Blanchardstown,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,102957.4784,53.41065719,-6.397114623
Elmwood Open Space,Brackenstown,Swords,Co. Dublin,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,34445.9323,53.46303279,-6.237026523
Hartstown Park,Hartstown,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,256765.1119,53.39144733,-6.416148361
Hazelbury,Castaheaney,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,126871.2945,53.40305533,-6.430743268
Holywell Park,Swords,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,67253.15595,53.44160841,-6.218579781
Lady's Well Park,Ladyswell,Mulhuddart,Dublin 15,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,114146.9581,53.40983681,-6.390162194
Lanesborough Park,Lanesborough,Dublin 11,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,48501.0142,53.40500094,-6.296323993
Mourne Park,Skerries,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,34889.56605,53.58182379,-6.12526098
Rivermeade,St. Margarets,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,23851.80305,53.45371489,-6.291948056
Orlynn Park,Lusk,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,34118.12295,53.52294559,-6.164480819
Seabury Gardens,Malahide,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,57698.20985,53.45742631,-6.181683823
Parklands,Castleknock,Dublin 15,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,50174.80215,53.38116611,-6.373996195
Rathingle Park,Swords,Co. Dublin,,,+353 1 8905629,parks@fingalcoco.ie,http://www.fingalcoco.ie/CommunityRecreationandAmenitiesDepartment/Parks/ParksHeritageProperties/,N/hood,,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,No,No,No,No,No,No,No,No,No,20101.74005,53.45009275,-6.244732229
